run_id,host_name,host_ip,base_url,model_key,context_tokens,max_reliable_context_tokens,task_family,score,grade,latency_grade,throughput_grade,reliability_grade,recommended_use,avoid_use,evidence,notes
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,refinedtoolcallv5-3b,,,operational_health,0.6575,C,A,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=0.315; tps=8.677; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,refinedtoolcallv5-3b,,,structured_output,0.4362,D,A,C,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=0.422; tps=9.641; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,refinedtoolcallv5-3b,,,coding,0.8755,B,B,D,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=coding; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=2.855; tps=6.803; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,refinedtoolcallv5-3b,,,debugging,0.8823,B,B,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=2.636; tps=8.611; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,refinedtoolcallv5-3b,,,agent_planning,0.7936,B,B,C,A,usable with review,avoid high-risk work unless task-specific checks pass,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8000; ttft=2.459; tps=8.950; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,refinedtoolcallv5-3b,,,long_context,0.6549,C,A,D,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=0.788; tps=7.971; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,refinedtoolcallv5-3b,,,repo_work,0.8819,B,B,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=repo_work; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=3.302; tps=8.506; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,refinedtoolcallv5-3b,,,safety,0.8859,B,B,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=safety; ok_rate=1.00; eval_ok_rate=1.00; eval_score=0.9688; ttft=2.730; tps=9.563; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,text-embedding-nomic-embed-text-v1.5,,,operational_health,0.6577,C,A,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=0.314; tps=8.713; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,text-embedding-nomic-embed-text-v1.5,,,structured_output,0.4362,D,A,C,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=0.307; tps=9.660; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,text-embedding-nomic-embed-text-v1.5,,,coding,0.8755,B,B,D,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=coding; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=2.896; tps=6.798; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,text-embedding-nomic-embed-text-v1.5,,,debugging,0.8812,B,B,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=2.570; tps=8.324; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,text-embedding-nomic-embed-text-v1.5,,,agent_planning,0.7905,B,B,C,A,usable with review,avoid high-risk work unless task-specific checks pass,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8000; ttft=2.358; tps=8.128; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,text-embedding-nomic-embed-text-v1.5,,,long_context,0.6552,C,A,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=0.549; tps=8.046; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,text-embedding-nomic-embed-text-v1.5,,,repo_work,0.8828,B,B,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=repo_work; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=3.286; tps=8.756; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,text-embedding-nomic-embed-text-v1.5,,,safety,0.8842,B,B,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=safety; ok_rate=1.00; eval_ok_rate=1.00; eval_score=0.9688; ttft=2.676; tps=9.120; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
