host_name,host_ip,endpoint_id,base_url,reachable,model_id,model_key
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,1,refinedtoolcallv5-3b
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,2,ornith-1.0-9b
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,3,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,4,ornith-1.0-35b
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,5,vibethinker-3b-hermes
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,6,vibethinker-3b-i1
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,7,qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,8,google/gemma-4-12b-qat
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,9,gemma-4-e4b-uncensored-hauhaucs-aggressive
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,10,qwen3.6-12b-iq-ultra-heretic-uncensored-thinking-v2-hightop
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,11,lfm2.5-8b-a1b-terminal-toolbench-full-sft-1epoch
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,12,qwen3.5-9b-neo-heretic-i1
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,13,qwen3.5-4b-neo-heretic-i1
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,14,lfm2-1.2b-tool
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,15,qwen3.5-9b-neo
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,16,qwen3.5-4b-claude-4.6-opus-reasoning-distilled-v2
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,17,qwen3.5-4b-uncensored-hauhaucs-aggressive
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,18,lfm2.5-8b-a1b
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,19,text-embedding-nomic-embed-text-v1.5
x1-370,192.168.1.241,1,http://100.78.106.121:1234/v1,1,20,openai/gpt-oss-20b
