run_id,host_name,host_ip,base_url,model_key,load_s,ttft_med,tps_med,ok_rate,eval_ok_rate,eval_score_avg,cases
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,text-embedding-nomic-embed-text-v1.5,0.013,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,4.260,3.840,44.245,1.00,0.30,0.6871,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,refinedtoolcallv5-3b,5.883,0.621,39.761,1.00,0.40,0.6967,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,ornith-1.0-9b,0.005,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,ornith-1.0-35b,0.005,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,vibethinker-3b-hermes,0.014,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,vibethinker-3b-i1,0.005,12.518,16.549,0.30,0.10,0.2000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex,0.008,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,google/gemma-4-12b-qat,0.010,,,0.10,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,gemma-4-e4b-uncensored-hauhaucs-aggressive,0.007,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,qwen3.6-12b-iq-ultra-heretic-uncensored-thinking-v2-hightop,0.015,,,0.20,0.00,0.0500,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,lfm2.5-8b-a1b-terminal-toolbench-full-sft-1epoch,0.004,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,qwen3.5-9b-neo-heretic-i1,0.004,25.105,1.371,0.20,0.00,0.0750,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,qwen3.5-4b-neo-heretic-i1,0.004,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,lfm2-1.2b-tool,0.006,3.747,23.874,0.10,0.10,0.0938,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,qwen3.5-9b-neo,17.232,,,0.30,0.00,0.1000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,qwen3.5-4b-claude-4.6-opus-reasoning-distilled-v2,0.063,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,qwen3.5-4b-uncensored-hauhaucs-aggressive,0.006,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,lfm2.5-8b-a1b,0.005,,,0.00,0.00,0.0000,10
1784130000,deathstar,192.168.1.241,http://100.78.106.121:1234/v1,openai/gpt-oss-20b,0.005,,,0.10,0.00,0.0000,10
