host_name,host_ip,endpoint_id,base_url,reachable,model_id,model_key
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,1,liquid/lfm2-24b-a2b
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,2,mradermacher/vibethinker-3b-hermes
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,3,refinedneuro/vibethinker-3b-hermes
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,4,vibethinker-3b-i1
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,5,qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex-mtp
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,6,qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,7,google/gemma-4-12b-qat
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,8,lfm2.5-8b-a1b
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,9,text-embedding-nomic-embed-text-v1.5
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,10,lfm2.5-1.2b-instruct
x1-370,192.168.1.241,1,http://destroyer.tailcb8954.ts.net:1234/v1,1,11,openai/gpt-oss-20b
