run_id,host_name,host_ip,base_url,model_key,load_s,ttft_med,tps_med,ok_rate,eval_ok_rate,eval_score_avg,cases
1787372960,x1-370,192.168.1.237,http://100.108.99.47:1234/v1,ternary-bonsai-27b@?,4.747,,,1.00,0.09,0.2500,11
1787372960,x1-370,192.168.1.237,http://100.108.99.47:1234/v1,liquid/lfm2-24b-a2b,5.751,10.378,1.530,1.00,0.73,0.9155,11
1787372960,x1-370,192.168.1.237,http://100.81.57.77:1234/v1,liquid/lfm2-24b-a2b,3.191,2.721,1.668,1.00,0.82,0.9458,11
1787372960,x1-370,192.168.1.237,http://100.81.57.77:1234/v1,ternary-bonsai-27b@?,5.189,158.058,0.105,1.00,0.09,0.2955,11
1787372960,x1-370,192.168.1.237,http://192.168.1.178:1234/v1,qwen3.5-0.8b-mlx,0.572,0.779,10.305,1.00,0.64,0.9155,11
1787372960,x1-370,192.168.1.237,http://192.168.1.178:1234/v1,prism-ml/bonsai-27b,6.335,,,0.00,0.00,0.0000,11
1787372960,x1-370,192.168.1.237,http://100.69.158.114:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,2.695,35.828,6.974,1.00,0.18,0.5136,11
1787372960,x1-370,192.168.1.237,http://100.69.158.114:1234/v1,prism-ml/bonsai-27b,1.877,,,0.00,0.00,0.0000,11
1787372960,x1-370,192.168.1.237,http://100.69.158.114:1234/v1,refinedtoolcallv5-3b,0.415,,,0.00,0.00,0.0000,11
1787372960,x1-370,192.168.1.237,http://192.168.1.81:1234/v1,liquid/lfm2.5-1.2b,3.001,3.041,4.475,1.00,0.55,0.8625,11
