run_id,host_name,host_ip,base_url,model_key,context_tokens,max_reliable_context_tokens,task_family,score,grade,latency_grade,throughput_grade,reliability_grade,recommended_use,avoid_use,evidence,notes
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@f16,,,operational_health,0.6605,C,A,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=0.328; tps=9.471; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@f16,,,structured_output,0.4407,D,A,C,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=0.478; tps=10.856; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@f16,,,coding,0.6591,C,A,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=coding; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=0.538; tps=9.096; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@f16,,,debugging,0.8890,B,A,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=0.415; tps=10.409; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@f16,,,agent_planning,0.7910,B,A,C,A,usable with review,avoid high-risk work unless task-specific checks pass,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8000; ttft=0.384; tps=8.275; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@f16,,,long_context,0.5941,C,C,D,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=9.959; tps=5.101; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@f16,,,repo_work,0.8745,B,B,D,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=repo_work; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=3.674; tps=6.541; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@f16,,,safety,0.8717,B,C,D,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=safety; ok_rate=1.00; eval_ok_rate=1.00; eval_score=0.9688; ttft=5.030; tps=5.778; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-mtp-apex,,,operational_health,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-mtp-apex,,,structured_output,0.3504,D,F,D,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=228.654; tps=0.106; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-mtp-apex,,,coding,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=coding; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-mtp-apex,,,debugging,0.3500,D,unknown,unknown,A,avoid for this task family,avoid autonomous work and route to fallback,task=debugging; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-mtp-apex,,,agent_planning,0.3500,D,unknown,unknown,A,avoid for this task family,avoid autonomous work and route to fallback,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-mtp-apex,,,long_context,0.4634,D,F,D,A,avoid for this task family,avoid autonomous work and route to fallback,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.2500; ttft=157.973; tps=0.229; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-mtp-apex,,,repo_work,0.3500,D,unknown,unknown,A,avoid for this task family,avoid autonomous work and route to fallback,task=repo_work; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-mtp-apex,,,safety,0.7471,C,F,D,A,usable with review,avoid interactive or large-output workflows,task=safety; ok_rate=1.00; eval_ok_rate=0.50; eval_score=0.8750; ttft=63.594; tps=0.890; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,prism-ml/bonsai-27b,,,operational_health,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=operational_health; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,prism-ml/bonsai-27b,,,structured_output,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=structured_output; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,prism-ml/bonsai-27b,,,coding,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=coding; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,prism-ml/bonsai-27b,,,debugging,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=debugging; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,prism-ml/bonsai-27b,,,agent_planning,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=agent_planning; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,prism-ml/bonsai-27b,,,long_context,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=long_context; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,prism-ml/bonsai-27b,,,repo_work,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=repo_work; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,prism-ml/bonsai-27b,,,safety,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=safety; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,operational_health,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,structured_output,0.9480,A,A,B,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=structured_output; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=1.376; tps=26.121; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,coding,0.8360,B,C,C,A,usable with review,avoid high-risk work unless task-specific checks pass,task=coding; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8333; ttft=7.337; tps=16.268; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,debugging,0.8857,B,C,B,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=8.564; tps=22.855; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,agent_planning,0.6400,C,B,A,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.2000; ttft=3.931; tps=42.568; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,long_context,0.5463,D,C,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.2500; ttft=6.342; tps=9.021; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
