run_id,host_name,host_ip,base_url,model_key,load_s,ttft_med,tps_med,ok_rate,eval_ok_rate,eval_score_avg,cases
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@f16,0.942,1.904,7.408,1.00,0.40,0.6737,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-mtp-apex,10.907,157.973,0.229,1.00,0.10,0.3250,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,prism-ml/bonsai-27b,0.018,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,4.171,6.627,22.855,1.00,0.40,0.6804,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b,2.184,5.101,5.042,1.00,0.40,0.6737,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,text-embedding-nomic-embed-text-v1.5,0.008,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,liquid/lfm2-24b-a2b,26.832,7.557,1.879,0.30,0.30,0.3000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,poolside-laguna-s-2.1-dflash@q4_k_m,0.004,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,poolside-laguna-s-2.1-dflash@q8_0,0.006,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,laguna-s-2.1,114.845,18.314,1.594,0.40,0.30,0.3000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,laguna-xs-2.1,0.001,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,hermes-qwen3.5-0.8b-sft-v7-fresh,0.002,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@q6_k,0.002,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedtoolcallv5-3b@q8_0,0.005,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,minicpm5-1b-agentic-tooluse,0.004,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,vibethinker-3b,0.004,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex,0.004,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-14b-a3b-claude-4.6-opus-reasoning-distilled-reap,0.003,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-9b-claude-4.6-highiq-instruct-heretic-uncensored,0.002,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.5-0.8b,0.004,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,poolside-laguna-s-2.1-dflash@?,0.002,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,poolside/laguna-xs-2.1,0.004,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,ornith-1.0-35b-rocmfpx,0.003,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,lmstudio-community/laguna-xs-2.1,49.040,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,orinth-1.0-9b,0.004,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.6-14b-a3b-vibeforged-v2,0.004,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,mradermacher/vibethinker-3b-hermes,0.008,4.128,7.418,0.40,0.10,0.2433,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,refinedneuro/vibethinker-3b-hermes,0.005,7.039,5.755,0.30,0.10,0.1500,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,vibethinker-3b-i1,0.006,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex-mtp,0.004,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,google/gemma-4-12b-qat,0.006,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,lfm2.5-8b-a1b,8.576,,,0.00,0.00,0.0000,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,lfm2.5-1.2b-instruct,0.003,2.669,11.327,0.50,0.40,0.4854,10
1785782500,x1-370,192.168.1.241,http://127.0.0.1:1234/v1,openai/gpt-oss-20b,27.311,12.468,1.849,0.30,0.20,0.2000,10
